analysis_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	analysis_type	reference_genome	pipeline_name	pipeline_version	cell_type	tissue_type	disease	dev_stage	host	host_sex	age	experimental_factor	first_public	submitted_ftp	submitted_md5	submitted_bytes	submitted_aspera	generated_ftp	generated_md5	generated_bytes	generated_aspera
ERZ375581	PRJEB9586	SAMEA3302867		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375581/LP6005441-DNA_C06.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375581/LP6005441-DNA_C06.annotated.nh2.vcf.gz.tbi	c115a53cf4174745ba2a3f2999727f7a;ed19fb9d32cf1aaad22166eddb91f909	31978373361;2728504	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375581/LP6005441-DNA_C06.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375581/LP6005441-DNA_C06.annotated.nh2.vcf.gz.tbi				
ERZ375583	PRJEB9586	SAMEA3302655		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375583/LP6005442-DNA_C02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375583/LP6005442-DNA_C02.annotated.nh2.vcf.gz.tbi	49accfd0391136c4e602294656d0cc53;09263ce4d7854e50a809e1606c93ff6e	26396814226;2730830	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375583/LP6005442-DNA_C02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375583/LP6005442-DNA_C02.annotated.nh2.vcf.gz.tbi				
ERZ375586	PRJEB9586	SAMEA3302712		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375586/SS6004468.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375586/SS6004468.annotated.nh2.vcf.gz.tbi	ebb5d4c5454e331ed0916ba4ddb5a7a9;199ce8bbc8be5015a4ffaf90e98a2278	27046975364;2730859	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375586/SS6004468.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375586/SS6004468.annotated.nh2.vcf.gz.tbi				
ERZ375587	PRJEB9586	SAMEA3302750		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375587/LP6005677-DNA_C03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375587/LP6005677-DNA_C03.annotated.nh2.vcf.gz.tbi	e6283de2a57ecc59547f6e3582783d44;592662f714cf9db5962c026a850fb341	27507963110;2730597	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375587/LP6005677-DNA_C03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375587/LP6005677-DNA_C03.annotated.nh2.vcf.gz.tbi				
ERZ375588	PRJEB9586	SAMEA3302849		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375588/LP6005443-DNA_F02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375588/LP6005443-DNA_F02.annotated.nh2.vcf.gz.tbi	cb13040eb497cf4a0110ddcb033e1ebb;16cb0e9a232e463f234f907647793218	26640262036;2730884	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375588/LP6005443-DNA_F02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375588/LP6005443-DNA_F02.annotated.nh2.vcf.gz.tbi				
ERZ375591	PRJEB9586	SAMEA3302652		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375591/LP6005592-DNA_B03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375591/LP6005592-DNA_B03.annotated.nh2.vcf.gz.tbi	a222ea894e9f1f08dc3f2e72f79b2c06;5c19f698cfe318448fd6b94f6369f218	27706111587;2730340	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375591/LP6005592-DNA_B03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375591/LP6005592-DNA_B03.annotated.nh2.vcf.gz.tbi				
ERZ375593	PRJEB9586	SAMEA3302834		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375593/LP6005519-DNA_G04.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375593/LP6005519-DNA_G04.annotated.nh2.vcf.gz.tbi	b067928edc5c12acf464cd899c532bae;91857c01f6cdfe86d7f6219cdd675677	28663647179;2729937	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375593/LP6005519-DNA_G04.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375593/LP6005519-DNA_G04.annotated.nh2.vcf.gz.tbi				
ERZ375594	PRJEB9586	SAMEA3302763		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375594/LP6005443-DNA_A06.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375594/LP6005443-DNA_A06.annotated.nh2.vcf.gz.tbi	0b8dc939bbb594c054c13505e517da7b;d99be04836e88f1951875390953fe548	27807990042;2730775	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375594/LP6005443-DNA_A06.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375594/LP6005443-DNA_A06.annotated.nh2.vcf.gz.tbi				
ERZ375598	PRJEB9586	SAMEA3302756		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375598/LP6005441-DNA_E07.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375598/LP6005441-DNA_E07.annotated.nh2.vcf.gz.tbi	6a3f8e18e33f0fa8138561917d556f90;457c746a5f9efe83f2f2cf447473df18	25738689657;2731348	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375598/LP6005441-DNA_E07.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375598/LP6005441-DNA_E07.annotated.nh2.vcf.gz.tbi				
ERZ375599	PRJEB9586	SAMEA3302735		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375599/LP6005442-DNA_H03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375599/LP6005442-DNA_H03.annotated.nh2.vcf.gz.tbi	9290ac50ce0971d7f096aa63e6ed5402;6e63738e13adb5c418e214d9a1175462	26339287816;2730679	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375599/LP6005442-DNA_H03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375599/LP6005442-DNA_H03.annotated.nh2.vcf.gz.tbi				
ERZ375602	PRJEB9586	SAMEA3302893		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375602/LP6005441-DNA_E09.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375602/LP6005441-DNA_E09.annotated.nh2.vcf.gz.tbi	f4a0d90ea6a2d36c790cba60bfd4db15;2a95f16a159d6618b776b3b140b8f908	26539183179;2730794	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375602/LP6005441-DNA_E09.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375602/LP6005441-DNA_E09.annotated.nh2.vcf.gz.tbi				
ERZ375603	PRJEB9586	SAMEA3302610		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375603/LP6005519-DNA_C05.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375603/LP6005519-DNA_C05.annotated.nh2.vcf.gz.tbi	93c02a6ae0eb0cdc908f8b5285b7e2d0;83e39c3cf78c763f991c8ecd5733e1de	28430616376;2729483	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375603/LP6005519-DNA_C05.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375603/LP6005519-DNA_C05.annotated.nh2.vcf.gz.tbi				
ERZ375610	PRJEB9586	SAMEA3302719		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375610/SS6004478.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375610/SS6004478.annotated.nh2.vcf.gz.tbi	fd3df65b0e534188a2f52219a091a432;3cca051309d8d0b767a90574e4ce7d63	27492074589;2730389	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375610/SS6004478.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375610/SS6004478.annotated.nh2.vcf.gz.tbi				
ERZ375611	PRJEB9586	SAMEA3302646		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375611/LP6005441-DNA_G09.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375611/LP6005441-DNA_G09.annotated.nh2.vcf.gz.tbi	e03723d40290cb28ba43dbdce55c998a;4a9a6308b40582cfbed96f55f2edb6a9	27515051728;2730375	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375611/LP6005441-DNA_G09.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375611/LP6005441-DNA_G09.annotated.nh2.vcf.gz.tbi				
ERZ375613	PRJEB9586	SAMEA3302628		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375613/LP6005442-DNA_A10.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375613/LP6005442-DNA_A10.annotated.nh2.vcf.gz.tbi	b870c305bb4a8355a1d8092b5e564bed;c33b59d60e846193d80d56bf12f23994	26313376408;2731184	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375613/LP6005442-DNA_A10.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375613/LP6005442-DNA_A10.annotated.nh2.vcf.gz.tbi				
ERZ375614	PRJEB9586	SAMEA3302674		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375614/LP6005441-DNA_C10.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375614/LP6005441-DNA_C10.annotated.nh2.vcf.gz.tbi	09a310977be8c824b1fd77618e72352b;26147998f7b73a2d0f17a91e5fe62147	27742258376;2730348	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375614/LP6005441-DNA_C10.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375614/LP6005441-DNA_C10.annotated.nh2.vcf.gz.tbi				
ERZ375620	PRJEB9586	SAMEA3302713		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375620/LP6005441-DNA_D09.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375620/LP6005441-DNA_D09.annotated.nh2.vcf.gz.tbi	c23d9ae4cc51e402e47436a38fbc8197;65d4e09b3005069cab75b68655181457	26697083505;2730780	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375620/LP6005441-DNA_D09.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375620/LP6005441-DNA_D09.annotated.nh2.vcf.gz.tbi				
ERZ375622	PRJEB9586	SAMEA3302648		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375622/LP6005443-DNA_C02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375622/LP6005443-DNA_C02.annotated.nh2.vcf.gz.tbi	0c73850eeb09c924c1a0b028091e4057;b5a112e0cbc196996914b9b2b09f2918	28422543507;2729625	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375622/LP6005443-DNA_C02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375622/LP6005443-DNA_C02.annotated.nh2.vcf.gz.tbi				
ERZ375625	PRJEB9586	SAMEA3302743		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375625/LP6005441-DNA_F08.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375625/LP6005441-DNA_F08.annotated.nh2.vcf.gz.tbi	b34b9241656a78d66936770e4fa09850;f17f620a989d8e67824e7d41e4614100	28002513943;2730570	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375625/LP6005441-DNA_F08.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375625/LP6005441-DNA_F08.annotated.nh2.vcf.gz.tbi				
ERZ375633	PRJEB9586	SAMEA3302833		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375633/SS6004471.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375633/SS6004471.annotated.nh2.vcf.gz.tbi	73c98705b5bdf671b0f994cfc33886c8;ae360a6cfd964be4adb77333ca0dbc1d	26967193468;2730663	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375633/SS6004471.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375633/SS6004471.annotated.nh2.vcf.gz.tbi				
ERZ375635	PRJEB9586	SAMEA3302669		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375635/LP6005441-DNA_B04.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375635/LP6005441-DNA_B04.annotated.nh2.vcf.gz.tbi	83ccb42fc2e66d12a4a260cb1d5b95c7;d0eb5f0cb077e47f63568dcf66540b13	27646114838;2729819	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375635/LP6005441-DNA_B04.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375635/LP6005441-DNA_B04.annotated.nh2.vcf.gz.tbi				
ERZ375636	PRJEB9586	SAMEA3302708		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375636/LP6005677-DNA_D03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375636/LP6005677-DNA_D03.annotated.nh2.vcf.gz.tbi	1c48f2a301c4efa65c33e81306e64b3e;26254b1d7bc31d0f4942ce152cdfe080	28327825452;2730099	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375636/LP6005677-DNA_D03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375636/LP6005677-DNA_D03.annotated.nh2.vcf.gz.tbi				
ERZ375637	PRJEB9586	SAMEA3302693		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375637/LP6005442-DNA_D02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375637/LP6005442-DNA_D02.annotated.nh2.vcf.gz.tbi	64099441d2ae08fcc469d7eed6f8ed78;b6a4e98bbd17a60ec376c9b680edaff4	26715052251;2731494	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375637/LP6005442-DNA_D02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375637/LP6005442-DNA_D02.annotated.nh2.vcf.gz.tbi				
ERZ375638	PRJEB9586	SAMEA3302718		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375638/LP6005442-DNA_A03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375638/LP6005442-DNA_A03.annotated.nh2.vcf.gz.tbi	9303106365c647f6bd302d6c17112d92;1f4f8ede3aaa00d5716f78d902c29811	26773227319;2730311	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375638/LP6005442-DNA_A03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375638/LP6005442-DNA_A03.annotated.nh2.vcf.gz.tbi				
ERZ375641	PRJEB9586	SAMEA3302908		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375641/LP6005592-DNA_H03.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375641/LP6005592-DNA_H03.annotated.nh2.vcf.gz.tbi	5bbaa8eb88134c72aa20f9a247d740a2;5beeb37a3b11019a5bd0151627db04f3	30828528576;2728245	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375641/LP6005592-DNA_H03.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375641/LP6005592-DNA_H03.annotated.nh2.vcf.gz.tbi				
ERZ375643	PRJEB9586	SAMEA3302865		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375643/LP6005441-DNA_A12.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375643/LP6005441-DNA_A12.annotated.nh2.vcf.gz.tbi	b4e3dbbbb436236369e9ee900c09e778;bb046353604f297d9036acb9589f8bee	27188089411;2730545	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375643/LP6005441-DNA_A12.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375643/LP6005441-DNA_A12.annotated.nh2.vcf.gz.tbi				
ERZ375645	PRJEB9586	SAMEA3302616		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375645/LP6005441-DNA_D07.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375645/LP6005441-DNA_D07.annotated.nh2.vcf.gz.tbi	731537ad283245723187747a9e693c5f;d905b5da01cfb7a728da7fd5b868d0be	26625839813;2730901	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375645/LP6005441-DNA_D07.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375645/LP6005441-DNA_D07.annotated.nh2.vcf.gz.tbi				
ERZ375650	PRJEB9586	SAMEA3302699		9606	Homo sapiens	SEQUENCE_VARIATION												2017-01-09	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375650/LP6005592-DNA_E02.annotated.nh2.vcf.gz;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ375/ERZ375650/LP6005592-DNA_E02.annotated.nh2.vcf.gz.tbi	a883f47a936173f57a643476f6eb73c9;e720e677e2cf5bba9f1618c189d5746d	29371696360;2729830	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375650/LP6005592-DNA_E02.annotated.nh2.vcf.gz;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ375/ERZ375650/LP6005592-DNA_E02.annotated.nh2.vcf.gz.tbi				
ERZ125624	PRJEB9586	SAMEA3302673		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125624/srt.aln.bam	bb9fd2833ccc549a9091491fc0299f84	103777919322	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125624/srt.aln.bam				
ERZ125631	PRJEB9586	SAMEA3302766		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125631/srt.aln.bam	98c70c04f5f82ac269c7f7825f84621a	93853713797	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125631/srt.aln.bam				
ERZ125644	PRJEB9586	SAMEA3302808		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125644/srt.aln.bam	3ab7ab504bc3a6f527658b42ecbeb674	105199756074	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125644/srt.aln.bam				
ERZ125656	PRJEB9586	SAMEA3302820		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125656/srt.aln.bam	bfb398a39a18b44e7d157a215784a908	109156720388	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125656/srt.aln.bam				
ERZ125657	PRJEB9586	SAMEA3302837		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125657/srt.aln.bam	1a22ef0c45c79a7f10c72fd760b30388	98541553343	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125657/srt.aln.bam				
ERZ125660	PRJEB9586	SAMEA3302613		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125660/srt.aln.bam	16d1b5648fe09fc51c62fd95c02d70e6	93290591298	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125660/srt.aln.bam				
ERZ125662	PRJEB9586	SAMEA3302745		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125662/srt.aln.bam	0c63b1dcb7a216ced0ce3b340a80b72a	97427800072	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125662/srt.aln.bam				
ERZ312775	PRJEB9586	SAMEA3302841		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312775/LP6005441-DNA_B03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312775/LP6005441-DNA_B03.srt.aln.bam.bai	00d06a56b47daac2ef315d8afc411518;304dd258bb6e7d475ff77078414aae00	104902754628;8869376	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312775/LP6005441-DNA_B03.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312775/LP6005441-DNA_B03.srt.aln.bam.bai				
ERZ312780	PRJEB9586	SAMEA3302716		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312780/LP6005441-DNA_B08.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312780/LP6005441-DNA_B08.srt.aln.bam.bai	c11f7c960161ffb7942e34d1be4456f7;0195906b87bbdc4a7e51f42b623c8118	102864607250;8884048	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312780/LP6005441-DNA_B08.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312780/LP6005441-DNA_B08.srt.aln.bam.bai				
ERZ312784	PRJEB9586	SAMEA3302867		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312784/LP6005441-DNA_C06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312784/LP6005441-DNA_C06.srt.aln.bam.bai	c7ed99131cfe84672ac91047907d43d5;f5200899f4973e282fc25a4eca265f03	222052742405;9056216	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312784/LP6005441-DNA_C06.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312784/LP6005441-DNA_C06.srt.aln.bam.bai				
ERZ312785	PRJEB9586	SAMEA3302771		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312785/LP6005441-DNA_C07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312785/LP6005441-DNA_C07.srt.aln.bam.bai	3c8a90e191779ee93981b130faf82708;0a266b87dd88eb62b990e64e472a661d	106286389151;8863072	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312785/LP6005441-DNA_C07.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312785/LP6005441-DNA_C07.srt.aln.bam.bai				
ERZ312786	PRJEB9586	SAMEA3302846		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312786/LP6005441-DNA_C08.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312786/LP6005441-DNA_C08.srt.aln.bam.bai	9402951d7d0b2f9533a1f57c48e69ce6;3dd45bf75dad31a027a72c4da59d2667	95923068594;8863600	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312786/LP6005441-DNA_C08.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312786/LP6005441-DNA_C08.srt.aln.bam.bai				
