# nrow	Sequencing Panel	Sample ID (Illumina)	Sample ID (Collaborator)	Sample ID (SGDP)	DNA Source	Embargo level (X=Fully Public, Y=Signed Letter)	Genetic sex assignment	Population ID	Region	Country	Town	Latitude	Longitude	Coverage (mean)	Number of bases covered without masking	Number of bases covered filter level >=0	Number of bases covered filter level >=1	Number of bases covered filter level >=9	Divergence per bp to hg19 without masking	Divergence per bp to hg19 filter level >=0	Divergence per bp to hg19 filter level >=1	Divergence per bp to hg19 filter level >=9	mtDNA haplogroup	Y haplogroup	samtools autosomal heterozygosity	samtools X heterozygosity	mlrho autosomal heterozygosity	mlrho X chromosome heterozygosity	zygosities:mlrho_X_het_lowerBound	zygosities:mlrho_X_het_upperBound	GATK heterozygosity rate filter level without masking	GATK heterozygosity rate filter level filter level >=0	GATK heterozygosity rate filter level filter level >=1	GATK heterozygosity rate filter level filter level >=9	Neanderthal ancestry estimate based on rate of nd10 sites	Denisova ancestry estimate based on rate of nd10 sites	Discordance rate with Human Origins SNP array	Fraction of variants not seen in 1kg at filter level >=1 	Fraction of genome covered at 20X	Fraction of genome covered at 10X	Concordance with Omni genotyping array	Contamination estimate (conTEST) at filter level>=0 (fraction)	Contamination estimate (conTEST) at filter level>=1 (fraction)	Contamination estimate (conTEST) at filter level>=9 (fraction)
55	C	LP6005592-DNA_C03	HGDP00474	S_Mbuti-1	Genomic_from_cell_lines	X	XY	Mbuti	Africa	Congo	?	1	29	41.77	2655406650	2313916513	2106925742	1243335051	0.001278899	0.001138387	0.001082525	0.00104	L2a2a1	E1b1a1a1g1	0.00110492	5.98e-05	0.0012	8.92e-05	8.72e-05	9.11e-05	0.001162643	0.000986001	0.000943871	0.000913493	0.002	0.007	0.004	0.0497	0.89	0.92	0.992	..	0.001	0.001
56	C	LP6005441-DNA_B08	HGDP00476	S_Mbuti-2	Genomic_from_cell_lines	X	XX	Mbuti	Africa	Congo	?	1	29	38.3	2655538141	2318709166	2073035818	1239284540	0.001272607	0.001137744	0.001079644	0.001031	L0a2b1	..	0.0011239	0.000708479	0.00116	0.000778	0.000772	0.000784	0.001178855	0.001013563	0.000969819	0.000931348	0.003	0.007	0.005	0.0482	0.9	0.91	0.992	..	0.001	0.001
57	C	LP6005441-DNA_A08	HGDP00449	S_Mbuti-3	Genomic_from_cell_lines	X	XY	Mbuti	Africa	Congo	?	1	29	38.78	2655019461	2316350052	2090473279	1158107277	0.001271814	0.001136983	0.00108047	0.001027	L0a2b	B2b1	0.00109265	5.27e-05	0.00116	6.92e-05	6.75e-05	7.09e-05	0.001144312	0.000981015	0.000939846	0.000890606	0.003	0.007	0.004	0.0485	0.88	0.92	0.993	..	0.001	0.001
58	C	LP6005442-DNA_G11	HG03078	S_Mende-1	Genomic_from_cell_lines	X	XY	Mende	Africa	SierraLeone	?	8.5	-13.2	40.37	2656364666	2327809523	2142393522	1280789331	0.00119799	0.001069971	0.00101882	0.00098	L2a1c	E1b1a1a1f	0.00112094	5.27e-05	0.0012	8.14e-05	7.96e-05	8.33e-05	0.001168896	0.001003737	0.000961586	0.000928454	0	0	0.004	0.0078	0.89	0.92	0.993	0.001	0.001	0.001
59	C	LP6005442-DNA_H11	HG03085	S_Mende-2	Genomic_from_cell_lines	X	XX	Mende	Africa	SierraLeone	?	8.5	-13.2	37.44	2655888080	2326715748	2147475639	1231060100	0.001200669	0.001071456	0.001021248	0.000979	L2a1l	..	0.00116326	0.000782492	0.0012	0.000868	0.000861	0.000875	0.001216437	0.001047898	0.001004237	0.000967123	0	0	0.003	0.0078	0.9	0.91	0.993	0.001	0.001	0.001
60	C	LP6005441-DNA_G08	HGDP01253	S_Mozabite-1	Genomic_from_cell_lines	X	XY	Mozabite	Africa	Algeria	?	32	3	37.87	2656716276	2327915545	2127547864	1216267474	0.001054845	0.000938722	0.000892643	0.000856	H1n:0	E1b1b1b1a2	0.000915806	3.32e-05	0.000971	5.26e-05	5.11e-05	5.41e-05	0.000950853	0.000805531	0.000769359	0.000735322	0.013	0	0.002	0.0152	0.88	0.92	0.993	0.001	0.001	0.001
61	C	LP6005441-DNA_H08	HGDP01274	S_Mozabite-2	Genomic_from_cell_lines	X	XX	Mozabite	Africa	Algeria	?	32	3	40.12	2656828753	2325844175	2132518480	1286500951	0.001067663	0.000950354	0.000904333	0.000868	U6a1a1	..	0.000990836	0.000601508	0.00101	0.00066	0.000654	0.000666	0.001027912	0.000878572	0.000839667	0.000808659	0.013	0	0.002	0.0149	0.91	0.91	0.992	0.001	0.001	0.001
62	C	LP6005619-DNA_B01	SAH31	S_Saharawi-1	Genomic_from_blood	X	XY	Saharawi	Africa	Western Sahara (Morocco)	Close to the Algerian border	27.3	-8.9	47.08	2649806710	2322382774	2128625405	1224904013	0.001058778	0.000938203	0.000892254	0.000862	U6a5a	E1b1b1b1a2	0.000912328	4.79e-05	0.000991	7.85e-05	7.66e-05	8.04e-05	0.000959102	0.000810198	0.000775032	0.000748087	0.014	0	..	0.0146	0.91	0.92	0.993	0.001	0.001	0.001
63	C	LP6005619-DNA_C01	SAH41	S_Saharawi-2	Genomic_from_blood	X	XY	Saharawi	Africa	Western Sahara (Morocco)	Close to the Algerian border	27.3	-8.9	50.59	2646358630	2317315709	2131902183	1175181909	0.001059056	0.000941777	0.000895402	0.000858	L3b1a	E1b1a1a1	0.000939467	4.25e-05	0.00102	7.24e-05	7.06e-05	7.42e-05	0.000982676	0.000834401	0.000797197	0.000758135	0.013	0	..	0.0146	0.91	0.92	0.992	0.001	0.001	0.001
64	C	LP6005442-DNA_D09	Ayodo_81S	S_Somali-1	Genomic_from_blood	X	XX	Somali	Africa	Kenya	Garissa	5.6	48.3	41.91	2657110647	2326947080	2149298828	1253993117	0.001119156	0.000995879	0.000950574	0.00092	M1a1	..	0.00101443	0.000614455	0.00104	0.000683	0.000676	0.000689	0.001060577	0.000901741	0.000864115	0.000837955	0.008	0.001	0.002	0.028	0.91	0.91	0.993	0.001	0.001	0.001
65	C	LP6005442-DNA_B02	HGDP00928	S_Yoruba-1	Genomic_from_cell_lines	X	XX	Yoruba	Africa	Nigeria	?	7.4	3.9	35.98	2655832571	2325699698	2118495186	1281291758	0.001190273	0.001062983	0.001009676	0.000972	L2a1f	..	0.00114834	0.000758097	0.00119	0.000833	0.000827	0.00084	0.00120037	0.00103635	0.000990764	0.000958517	0	0	0.004	0.0121	0.9	0.91	0.993	0.001	0.001	0.001
66	C	LP6005442-DNA_A02	HGDP00932	S_Yoruba-2	Genomic_from_cell_lines	X	XY	Yoruba	Africa	Nigeria	?	7.4	3.9	34.21	2655630009	2325364496	2120157927	1271462054	0.001191879	0.001062475	0.001009384	0.000974	L3d1'2'3'4'5	E1b1a1a1f1b1	0.00110952	5.28e-05	0.00118	6.84e-05	6.68e-05	7.01e-05	0.001158699	0.00099481	0.000950699	0.000918963	0	0	0.003	0.0118	0.86	0.92	0.993	0.001	0.001	0.001
67	C	LP6005519-DNA_D01	TGBS21	S_Chane-1	Genomic_from_blood	X	XY	Chane	America	Argentina	Salta (province), Tartagal (city) 	-25	-60	58.12	2657310771	2324568806	2122799515	1198010669	0.001037509	0.000920063	0.000871784	0.00083	B2i	Q1a2a1a1	0.000707858	3.91e-05	0.000759	6.02e-05	5.86e-05	6.2e-05	0.000741765	0.000608503	0.000579614	0.000551515	0.021	0.002	0.005	0.0186	0.92	0.92	0.993	0.001	0.001	0.001
68	C	LP6005442-DNA_H06	NAD93	S_Chipewyan-1	Genomic_from_blood	Y	XX	Chipewyan	America	Canada	Uranium City	59.6	-107.3	40.33	2655825154	2330754600	2159067956	1211084024	0.001040093	0.000921975	0.000878874	0.000849	A2:0	..	0.000729582	0.00033019	0.000749	0.000379	0.000374	0.000383	0.000765589	0.000630986	0.00060384	0.00058839	0.023	0.003	0.002	0.019	0.91	0.91	0.993	0.001	0.001	0.001
69	C	LP6005443-DNA_F05	NAD59	S_Chipewyan-2	Genomic_from_blood	Y	XY	Chipewyan	America	Canada	Saskatchewan	59.6	-107.3	42.94	2655417677	2269581314	1958975046	1185219393	0.001043682	0.000916466	0.000880547	0.000883	A2:0	C3b	0.000702467	5.67e-05	0.000728	5.22e-05	5.07e-05	5.37e-05	0.000745362	0.000603658	0.000579407	0.000575992	0.026	0.004	0.002	0.0199	0.85	0.92	0.993	0.001	0.001	0.001
70	C	LP6005442-DNA_A07	Cree5	S_Cree-1	Genomic_from_blood	Y	XY	Cree	America	Canada	Saskatchewan	50.3	-102.5	36.69	2656170346	2329609528	2150986305	1227608535	0.001024066	0.000911371	0.000870462	0.000847	A2f1a	R1b1a2a1a1c2b2a	0.000827829	3.44e-05	0.000879	5.47e-05	5.32e-05	5.62e-05	0.000866294	0.000731527	0.000701956	0.000679749	0.021	0.004	0.002	0.0149	0.88	0.92	0.993	0.001	0.001	0.001
71	C	LP6005442-DNA_B07	Cree6	S_Cree-2	Genomic_from_blood	Y	XX	Cree	America	Canada	Saskatchewan	50.3	-102.5	40.42	2656404704	2331177964	2149654753	1167539478	0.001034817	0.000918718	0.000877655	0.00086	A2b1	..	0.000830174	0.000418638	0.000855	0.000477	0.000472	0.000482	0.000866178	0.000726441	0.000695716	0.000680433	0.022	0.004	0.002	0.0157	0.91	0.91	0.993	0.001	0.001	0.001
72	C	LP6005441-DNA_G06	HGDP01012	S_Karitiana-1	Genomic_from_cell_lines	X	XY	Karitiana	America	Brazil	?	-10	-63	44.93	2654469038	2325052454	2136701680	1202165357	0.001040124	0.000918295	0.000873717	0.000839	D1e	Q1a2a1a1	0.000621298	3.49e-05	0.000671	6.43e-05	6.27e-05	6.61e-05	0.000656723	0.000521046	0.000498301	0.000480201	0.02	0.004	0.002	0.0188	0.9	0.92	0.994	0.001	0.001	0.001
73	C	LP6005441-DNA_H06	HGDP01018	S_Karitiana-2	Genomic_from_cell_lines	X	XX	Karitiana	America	Brazil	?	-10	-63	39.49	2654029630	2324405522	2155680882	1283795262	0.00103738	0.000919447	0.000876512	0.000843	D1e	..	0.000641406	0.000363089	0.000667	0.000427	0.000422	0.000431	0.000677587	0.000549147	0.000524792	0.000507366	0.02	0.003	0.002	0.0195	0.9	0.91	0.994	0.001	0.001	0.001
74	C	LP6005441-DNA_G07	HGDP00855	S_Mayan-1	Genomic_from_cell_lines	X	XX	Mayan	America	Mexico	?	19	-91	37.77	2655611447	2322889555	2134007529	1219294085	0.001038642	0.00092171	0.000877607	0.00084	A2:0	..	0.000741559	0.000419747	0.000752	0.000473	0.000468	0.000477	0.000772183	0.000637395	0.000608526	0.000585978	0.021	0.004	0.002	0.018	0.9	0.91	0.994	0.001	0.001	0.001
75	C	LP6005441-DNA_H07	HGDP00857	S_Mayan-2	Genomic_from_cell_lines	X	XX	Mayan	America	Mexico	?	19	-91	45.13	2655484804	2326920726	2156067348	1265156086	0.001039661	0.000921428	0.000876056	0.000838	A2e	..	0.000719133	0.000326031	0.000747	0.000382	0.000377	0.000387	0.000751869	0.00061928	0.000591653	0.000568628	0.022	0.004	0.002	0.0177	0.91	0.91	0.994	0.001	0.001	0.001
76	C	LP6005443-DNA_E11	mixe0002	S_Mixe-2	Genomic_from_cell_lines	X	XX	Mixe	America	Mexico	Tmazulapan, Mixe	16.95	96.58	46.94	2655176622	2319530234	2154917678	1180680646	0.001041231	0.000921015	0.00087694	0.000833	A2m	..	0.000732202	0.000374948	0.00076	0.000436	0.000431	0.000441	0.000767685	0.000628265	0.000600764	0.000573733	0.021	0.003	..	0.0181	0.91	0.91	0.994	0.001	0.001	0.001
77	C	LP6005443-DNA_F11	mixe0042	S_Mixe-3	Genomic_from_cell_lines	X	XX	Mixe	America	Mexico	Tamazulapan, Mixe	16.95	96.58	46.66	2638402540	2308880375	2125806574	1193597684	0.001042474	0.000924656	0.000879671	0.000844	B2c1b	..	0.000720301	0.00037462	0.000747	0.000439	0.000434	0.000444	0.000756573	0.000619883	0.000591895	0.000570624	0.021	0.004	..	..	0.91	0.91	0.993	0.001	..	..
78	C	LP6005443-DNA_G11	mixa0099	S_Mixtec-1	Genomic_from_cell_lines	X	XY	Mixtec	America	Mexico	San Andres Nuxino	17	-97	44.48	2654948661	2324671325	2130537099	1258519986	0.001042262	0.000923808	0.000879689	0.00085	A2u	Q1a2a1a1	0.000752503	4.54e-05	0.000805	6.91e-05	6.73e-05	7.08e-05	0.000788014	0.000648845	0.000620143	0.000602009	0.021	0.003	..	0.0187	0.9	0.92	0.993	0.001	0.001	0.001
79	C	LP6005443-DNA_H11	mixa0105	S_Mixtec-2	Genomic_from_cell_lines	X	XX	Mixtec	America	Mexico	?	17	-97	46.91	2653151008	2322157661	2142040645	1224840564	0.001035805	0.000918612	0.000873761	0.000838	B2	..	0.000852407	0.000535525	0.000884	0.00061	0.000604	0.000616	0.000889967	0.00074359	0.000709058	0.00068335	0.021	0.001	..	0.0159	0.91	0.91	0.993	0.001	0.001	0.001
80	C	LP6005519-DNA_A03	Mex02	S_Nahua-1	Genomic_from_saliva	Y	XY	Nahua	America	Mexico	Zitlala	..	..	56.19	2657406338	2327046501	2126386821	1236996534	0.001040305	0.000921382	0.000874329	0.000837	B2	Q1a2a1a1	0.000725233	3.65e-05	0.000792	6.8e-05	6.62e-05	6.99e-05	0.000765625	0.000627361	0.000598405	0.000574257	..	..	..	..	0.92	0.92	0.993	0.001	0.001	0.001
81	C	LP6005519-DNA_B03	Mex20	S_Nahua-2	Genomic_from_saliva	Y	XY	Nahua	America	Mexico	Zitlala	?	?	37.05	2655572286	2329031456	2146680887	1226329302	0.00103773	0.000920902	0.000876637	0.000844	B2	Q1a2a1b	0.000719422	3.71e-05	0.00077	6.16e-05	6e-05	6.33e-05	0.000757407	0.000623839	0.000596516	0.000575136	0.021	0.003	..	0.0167	0.88	0.92	0.992	0.001	0.001	0.001
82	C	LP6005441-DNA_A04	HGDP00702	S_Piapoco-1	Genomic_from_cell_lines	X	XX	Piapoco	America	Colombia	?	3	-68	40.88	2653789395	2323140307	2116364245	1252413075	0.001040686	0.000922367	0.000875212	0.000836	A2:0	..	0.000662306	0.000323727	0.000679	0.000376	0.000372	0.000381	0.000697917	0.000567373	0.000540227	0.000517834	0.02	0.004	0.002	0.0174	0.91	0.91	0.994	0.001	0.001	0.001
83	C	LP6005441-DNA_B04	HGDP00706	S_Piapoco-2	Genomic_from_cell_lines	X	XX	Piapoco	America	Colombia	?	3	-68	41.01	2654210874	2324060022	2133463876	1252380522	0.001039591	0.000921909	0.000876696	0.000838	C1d1	..	0.000715808	0.000356575	0.000736	0.000409	0.000404	0.000413	0.000753291	0.000618591	0.000589548	0.000568133	0.02	0.004	0.002	0.0181	0.91	0.91	0.995	0.001	0.001	0.001
84	C	LP6005441-DNA_E10	HGDP01047	S_Pima-1	Genomic_from_cell_lines	X	XY	Pima	America	Mexico	?	29	-108	43.03	2656316860	2328012175	2138466244	1218254699	0.001039218	0.000921635	0.000874891	0.000831	C1b11	Q1a2a1a1	0.000713157	3.89e-05	0.000763	5.95e-05	5.8e-05	6.12e-05	0.000747621	0.000612161	0.000583534	0.000551055	0.021	0.003	0.002	0.0184	0.89	0.92	0.994	0.001	0.001	0.001
85	C	LP6005441-DNA_F10	HGDP01044	S_Pima-2	Genomic_from_cell_lines	X	XX	Pima	America	Mexico	?	29	-108	37.84	2654683170	2326250144	2133269418	1241471021	0.001043151	0.000927542	0.000878108	0.000832	C1b11	..	0.000677994	0.00026198	0.000719	0.000323	0.000319	0.000327	0.000715181	0.000586885	0.000557079	0.000530674	0.021	0.003	0.002	0.0208	0.9	0.91	0.993	0.001	0.001	0.001
86	C	LP6005677-DNA_F01	NA11201	S_Quechua-1	Genomic_from_cell_lines	X	XX	Quechua	America	Peru	Cell_line_repository_sampling_location_unknown	-13.5	-72	42.04	2655848742	2327475866	2148879726	1270419726	0.001039678	0.000920697	0.00087521	0.000837	C1b2	..	0.000756678	0.000376825	0.000784	0.000437	0.000432	0.000442	0.000792948	0.00065082	0.000620705	0.000597102	0.022	0.003	0.003	0.0155	0.9	0.91	0.993	0.001	0.001	0.001
87	C	LP6005677-DNA_E01	NA11200	S_Quechua-2	Genomic_from_cell_lines	X	XY	Quechua	America	Peru	Cell_line_repository_sampling_location_unknown	-13.5	-72	44.82	2654811583	2317842077	2104977797	1178471608	0.001041051	0.000921119	0.000872996	0.000824	B2	Q1a2a1a1	0.000706983	4.49e-05	0.000754	6.37e-05	6.21e-05	6.54e-05	0.000746152	0.000610159	0.000581526	0.000550667	0.022	0.003	0.002	0.0167	0.9	0.92	0.993	0.001	0.001	0.001
88	C	LP6005519-DNA_G02	Peru60	S_Quechua-3	Genomic_from_blood	X	XX	Quechua	America	Peru	?	-13.5	-72	59.78	2623812282	2295079091	2099154413	1137045170	0.001040044	0.000920737	0.000874418	0.000844	B2b	..	0.000731962	0.000343782	0.000781	0.000419	0.000413	0.000425	0.000771632	0.000634521	0.000603554	0.000581226	0.022	0.003	..	0.017	0.91	0.91	0.993	0.001	0.001	0.001
89	C	LP6005441-DNA_A12	HGDP00846	S_Surui-1	Genomic_from_cell_lines	X	XX	Surui	America	Brazil	?	-11	-62	41.5	2655624798	2327761182	2139235836	1195748741	0.001040943	0.000921776	0.000874697	0.000828	A2	..	0.000628637	0.000210756	0.000659	0.000261	0.000257	0.000264	0.000662998	0.000533975	0.000508438	0.000484579	0.02	0.003	0.002	0.0204	0.91	0.91	0.995	0.001	..	0.001
90	C	LP6005441-DNA_B12	HGDP00852	S_Surui-2	Genomic_from_cell_lines	X	XX	Surui	America	Brazil	?	-11	-62	35.63	2655132855	2326759781	2149137292	1238748228	0.001040022	0.000922465	0.000877626	0.000834	D1a1	..	0.000607912	0.00019101	0.000632	0.000234	0.000231	0.000238	0.000645404	0.000517024	0.000492295	0.000471493	0.02	0.003	0.002	0.0189	0.9	0.91	0.994	..	0.002	0.002
91	C	LP6005443-DNA_A12	zapo0098	S_Zapotec-1	Genomic_from_cell_lines	X	XY	Zapotec	America	Mexico	San Juan Guelavia	16.5	-97.2	45.75	2655288957	2324847321	2162393988	1164996872	0.001039463	0.000921131	0.000876816	0.000838	A2v	Q1a2a1a1	0.000734696	3.97e-05	0.000789	6.08e-05	5.92e-05	6.25e-05	0.000772314	0.000634364	0.000607565	0.00058214	0.021	0.003	..	0.018	0.9	0.92	0.994	0.001	0.001	0.001
92	C	LP6005677-DNA_D01	zapo0099	S_Zapotec-2	Genomic_from_cell_lines	X	XY	Zapotec	America	Mexico	San Juan Guelavia	16.5	-97.2	39.23	2655156557	2325800904	2129826234	1264104475	0.001040584	0.000920157	0.000877477	0.000851	C1b7a	Q1a2a1a1	0.00073944	3.94e-05	0.000789	6.45e-05	6.29e-05	6.62e-05	0.000776184	0.00063564	0.000609463	0.000596012	0.021	0.004	..	0.0179	0.88	0.92	0.994	0.001	0.001	0.001
93	C	LP6005443-DNA_A03	Ale22	S_Aleut-1	Genomic_from_blood	X	XY	Aleut	CentralAsiaSiberia	Russia	Nikolskoye, Commander Islands	55.18	166	46.46	2656054027	2329233086	2150340268	1191673509	0.001035572	0.000917509	0.000874291	0.00084	D2a1a	J2a1	0.000843324	4.17e-05	0.000915	7.25e-05	7.07e-05	7.43e-05	0.000884979	0.000738417	0.000706004	0.000674704	0.024	0.002	0.002	0.0165	0.9	0.92	0.992	0.003	0.003	0.003
94	C	LP6005443-DNA_H02	Ale20	S_Aleut-2	Genomic_from_blood	X	XX	Aleut	CentralAsiaSiberia	Russia	Nikolskoye, Commander Islands	55.18	166	38.76	2656128369	2329418688	2158088873	1251245242	0.001028774	0.000912753	0.000871213	0.000841	D2a1a	..	0.000841364	0.00048612	0.000864	0.000549	0.000543	0.000555	0.000879964	0.000737253	0.000703998	0.000675437	0.022	0.003	0.002	0.0177	0.9	0.91	0.993	0.001	0.001	0.001
95	C	LP6005442-DNA_F02	altai363p	S_Altaian-1	Genomic_from_blood	X	XY	Altaian	CentralAsiaSiberia	Russia	Tenga, Ongudaisky district, Altai Republic	51.9	86	39.12	2651142488	2326633929	2139740780	1272690876	0.001030743	0.000916198	0.000872456	0.000844	D4b1a2a2	R1a1a1b2	0.000841485	4.27e-05	0.000889	6.27e-05	6.11e-05	6.44e-05	0.000873805	0.000737793	0.000706597	0.000684473	0.024	0.004	0.002	0.0166	0.89	0.92	0.992	0.001	0.001	0.001
96	C	LP6005443-DNA_C03	Sir19	S_Chukchi-1	Genomic_from_blood	X	XY	Chukchi	CentralAsiaSiberia	Russia	Sireniki, Chukchi Peninsula	69	169	47.09	2656525333	2327396213	2134269513	1183675987	0.001028014	0.000913187	0.000869951	0.000836	A2b1	R1a1a1b1a2b3a	0.000888508	4.25e-05	0.000951	6.43e-05	6.26e-05	6.6e-05	0.000925392	0.00078441	0.000751393	0.000719053	0.021	0.004	..	0.0156	0.9	0.92	0.992	0.001	0.001	0.001
97	C	LP6005443-DNA_D03	Esk29	S_Eskimo_Chaplin-1	Genomic_from_blood	X	XY	Eskimo_Chaplin	CentralAsiaSiberia	Russia	New Chaplino, Chukchi Peninsula	64.48	172.86	45.64	2648142775	2321287663	2135385969	1236285334	0.001047675	0.00092907	0.000885286	0.000855	A2b1	N1c1a1a	0.000725231	3.66e-05	0.000774	5.89e-05	5.73e-05	6.05e-05	0.000763836	0.000627974	0.000601336	0.000579594	0.023	0.003	0.002	0.0189	0.9	0.92	0.993	0.001	0.001	0.001
98	C	LP6005443-DNA_F03	Nesk_22	S_Eskimo_Naukan-1	Genomic_from_blood	X	XX	Eskimo_Naukan	CentralAsiaSiberia	Russia	Naukan, Chukchi Peninsula	66.02	169.71	49.09	2643173143	2317739119	2114428469	1186388569	0.001043785	0.000925389	0.000878696	0.000843	A2a	..	0.000764199	0.000389543	0.000793	0.000451	0.000446	0.000456	0.000801993	0.000664956	0.000632467	0.000606776	0.023	0.003	0.002	0.0187	0.91	0.91	0.994	0.001	0.001	0.001
99	C	LP6005443-DNA_G03	Nesk_25	S_Eskimo_Naukan-2	Genomic_from_blood	X	XX	Eskimo_Naukan	CentralAsiaSiberia	Russia	Big Diomide Island, Chukchi Peninsula	66.02	169.71	46.31	2655785418	2328580590	2153115195	1212870616	0.0010456	0.000927088	0.000883333	0.000851	A2b1	..	0.00075401	0.000394691	0.000788	0.000468	0.000463	0.000473	0.000794931	0.000656992	0.000628399	0.000607492	0.023	0.005	0.002	0.019	0.91	0.91	0.993	0.001	0.001	0.001
100	C	LP6005443-DNA_B03	Sir26	S_Eskimo_Sireniki-1	Genomic_from_blood	X	XY	Eskimo_Sireniki	CentralAsiaSiberia	Russia	Sireniki, Chukchi Peninsula	64.4	173.9	43.61	2653827033	2326251925	2145072377	1193026480	0.001045881	0.000925044	0.000881633	0.000852	A2b1	N1c1a1a	0.000757907	4.06e-05	0.000822	7.18e-05	7e-05	7.36e-05	0.000797849	0.000657795	0.000629487	0.000604571	0.022	0.003	0.002	0.0195	0.9	0.92	0.993	0.001	0.001	0.001
101	C	LP6005443-DNA_H03	Sir40	S_Eskimo_Sireniki-2	Genomic_from_blood	X	XX	Eskimo_Sireniki	CentralAsiaSiberia	Russia	Sireniki, Chukchi Peninsula	64.4	173.9	49.37	2635648732	2310988445	2127866651	1137784330	0.001043376	0.000925	0.000882573	0.000852	D2a1b	..	0.000775121	0.000408919	0.000814	0.00048	0.000475	0.000486	0.000817079	0.000678351	0.000649185	0.000627239	0.024	0.003	..	..	0.91	0.91	0.992	0.001	..	..
102	C	LP6005592-DNA_F03	Nlk1	S_Even-1	Genomic_from_blood	X	XX	Even	CentralAsiaSiberia	Russia	Djigda, Eastern Siberia	57.53	135.88	49.77	2642645993	2315444079	2135170119	1203300786	0.001046496	0.000926309	0.000882346	0.000853	C4a2	..	0.000851498	0.000459493	0.00089	0.00054	0.000534	0.000546	0.000891946	0.000743583	0.000710673	0.000686259	0.023	0.005	0.002	0.0175	0.91	0.91	0.995	0.001	0.001	0.001
103	C	LP6005443-DNA_C04	Nlk18	S_Even-2	Genomic_from_blood	X	XY	Even	CentralAsiaSiberia	Russia	Djigda, Eastern Siberia	57.53	135.88	40.22	2655483341	2329405477	2153140374	1166009280	0.001046072	0.000927936	0.000885279	0.000856	D4j4a	C3c1	0.00079382	3.98e-05	0.000842	5.89e-05	5.73e-05	6.05e-05	0.000831146	0.000690316	0.000661333	0.00063698	0.022	0.004	0.002	0.0185	0.89	0.92	0.993	0.001	0.001	0.001
104	C	LP6005443-DNA_B04	Nlk3	S_Even-3	Genomic_from_blood	X	XX	Even	CentralAsiaSiberia	Russia	Djigda, Eastern Siberia	57.53	135.88	50.31	2655725967	2328521273	2148634619	1177471102	0.001045108	0.000926524	0.000883703	0.000857	D4o2	..	0.00080534	0.000379838	0.000844	0.000449	0.000443	0.000454	0.000848655	0.000705357	0.000674403	0.000651982	0.022	0.003	0.002	0.0181	0.91	0.91	0.995	0.001	0.001	0.001
105	C	LP6005443-DNA_D04	Kor82	S_Itelman-1	Genomic_from_blood	X	XX	Itelman	CentralAsiaSiberia	Russia	Kovran, Kamchatka	57	157	47.65	2656951572	2327886541	2126500167	1217646919	0.001049424	0.000928906	0.000885144	0.00086	G1b	..	0.00076571	0.000435264	0.000788	0.000498	0.000492	0.000504	0.000803732	0.000660753	0.000629897	0.000610613	0.022	0.003	..	0.0196	0.91	0.91	0.993	0.001	0.001	0.001
106	C	LP6005677-DNA_B02	Bishkek28440	S_Kyrgyz-1	Genomic_from_blood	X	XY	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	Bishkek	42.9	74.6	48.53	2641873591	2311980306	2137024561	1194146486	0.001040537	0.00092104	0.000875934	0.000839	G2a:0	R1a1a1b2a1	0.000850665	4.35e-05	0.000919	6.91e-05	6.74e-05	7.09e-05	0.000894614	0.000748992	0.000716031	0.000687513	0.024	0.003	..	0.0163	0.91	0.92	0.992	0.001	0.001	0.001
107	C	LP6005677-DNA_A02	Bishkek28439	S_Kyrgyz-2	Genomic_from_blood	X	XX	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	Bishkek	42.9	74.6	38.86	2655978885	2329501194	2154998771	1264911720	0.001027147	0.000913647	0.000871916	0.000844	C4	..	0.000874427	0.000419687	0.000908	0.000488	0.000483	0.000493	0.000914173	0.000771621	0.000737579	0.000713775	0.021	0.003	..	0.0168	0.9	0.91	0.995	0.001	0.001	0.001
108	C	LP6005443-DNA_F04	Mansi79	S_Mansi-1	Genomic_from_blood	X	XY	Mansi	CentralAsiaSiberia	Russia	Sos'va river, Western Siberia	63.8	61.45	38.86	2655180245	2330408323	2255258524	1261877425	0.001032465	0.000918392	0.000883617	0.000852	J1d	N1c2b2	0.000838873	3.56e-05	0.00089	5.59e-05	5.44e-05	5.75e-05	0.000872307	0.000737274	0.000713781	0.00072576	0.021	0.003	0.002	0.0177	0.89	0.92	0.993	0.001	0.001	0.001
109	C	LP6005443-DNA_G04	Mansi41	S_Mansi-2	Genomic_from_blood	X	XX	Mansi	CentralAsiaSiberia	Russia	Shugur, Western Siberia	63.65	62.1	46.22	2656780241	2329034340	2135568197	1202614027	0.001030416	0.000913816	0.000869772	0.000841	K2a5	..	0.000869227	0.00050018	0.0009	0.000562	0.000556	0.000568	0.000910665	0.000768381	0.000733631	0.000711197	0.021	0.002	..	0.0156	0.91	0.91	0.993	0.001	0.001	0.001
110	C	LP6005441-DNA_E08	HGDP01228	S_Mongola-1	Genomic_from_cell_lines	X	XY	Mongola	CentralAsiaSiberia	China	?	45	111	39.08	2655562762	2325419999	2122364440	1226635830	0.001045834	0.000930672	0.000881272	0.000836	D4c1b	O3a2c	0.000813771	4.11e-05	0.000888	7.07e-05	6.89e-05	7.25e-05	0.000854216	0.000718714	0.000683843	0.000647331	0.024	0.004	0.003	0.0187	0.88	0.92	0.994	0.001	0.001	0.001
